,serial_number,name,type,rarity,set
1762,69/115,Porygon,Colorless,Common,EX Unseen Forces 
1763,70/115,Pupitar,Fighting,Common,EX Unseen Forces 
1764,71/115,Remoraid,Water,Common,EX Unseen Forces 
1765,72/115,Slowpoke,Psychic,Common,EX Unseen Forces 
1766,73/115,Slugma,Fire,Common,EX Unseen Forces 
1767,74/115,Snubbull,Colorless,Common,EX Unseen Forces 
1768,75/115,Spinarak,Grass,Common,EX Unseen Forces 
1769,76/115,Sunkern,Grass,Common,EX Unseen Forces 
1770,77/115,Teddiursa,Colorless,Common,EX Unseen Forces 
1771,78/115,Totodile,Water,Common,EX Unseen Forces 
1772,79/115,Wooper,Fighting,Common,EX Unseen Forces 
1773,80/115,Curse Powder,T [Tool],Uncommon,EX Unseen Forces 
1774,81/115,Energy Recycle System,T,Uncommon,EX Unseen Forces 
1775,82/115,Energy Removal 2,T,Uncommon,EX Unseen Forces 
1776,83/115,Energy Root,T [Tool],Uncommon,EX Unseen Forces 
1777,84/115,Energy Switch,T,Uncommon,EX Unseen Forces 
1778,85/115,Fluffy Berry,T [Tool],Uncommon,EX Unseen Forces 
1779,86/115,Mary's Request,T [Su],Uncommon,EX Unseen Forces 
1780,87/115,Poké Ball,T,Uncommon,EX Unseen Forces 
1781,88/115,Pokémon Reversal,T,Uncommon,EX Unseen Forces 
1782,89/115,Professor Elm's Training Method,T [Su],Uncommon,EX Unseen Forces 
1783,90/115,Protective Orb,T [Tool],Uncommon,EX Unseen Forces 
1784,91/115,Sitrus Berry,T [Tool],Uncommon,EX Unseen Forces 
1785,92/115,Solid Rage,T [Tool],Uncommon,EX Unseen Forces 
1786,93/115,Warp Point,T,Uncommon,EX Unseen Forces 
1787,94/115,Energy Search,T,Common,EX Unseen Forces 
1788,95/115,Potion,T,Common,EX Unseen Forces 
1789,96/115,Darkness Energy,Darkness,Rare,EX Unseen Forces 
1790,97/115,Metal Energy,Metal,Rare,EX Unseen Forces 
1791,98/115,Boost Energy,Colorless,Uncommon,EX Unseen Forces 
1792,99/115,Cyclone Energy,Colorless,Uncommon,EX Unseen Forces 
1793,100/115,Warp Energy,Colorless,Uncommon,EX Unseen Forces 
1794,101/115,Blissey ex,Colorless,Rare Holo ex,EX Unseen Forces 
1795,102/115,Espeon ex,Psychic,Rare Holo ex,EX Unseen Forces 
1796,103/115,Feraligatr ex,Water,Rare Holo ex,EX Unseen Forces 
1797,104/115,Ho-Oh ex,Fire,Rare Holo ex,EX Unseen Forces 
1798,105/115,Lugia ex,Colorless,Rare Holo ex,EX Unseen Forces 
1799,106/115,Meganium ex,Grass,Rare Holo ex,EX Unseen Forces 
1800,107/115,Politoed ex,Water,Rare Holo ex,EX Unseen Forces 
1801,108/115,Scizor ex,Metal,Rare Holo ex,EX Unseen Forces 
1802,109/115,Steelix ex,Metal,Rare Holo ex,EX Unseen Forces 
1803,110/115,Typhlosion ex,Fire,Rare Holo ex,EX Unseen Forces 
1804,111/115,Tyranitar ex,Darkness,Rare Holo ex,EX Unseen Forces 
1805,112/115,Umbreon ex,Darkness,Rare Holo ex,EX Unseen Forces 
1806,113/115,Entei,Fire,ShinyRare Holo,EX Unseen Forces 
1807,114/115,Raikou,Lightning,ShinyRare Holo,EX Unseen Forces 
1808,115/115,Suicune,Water,ShinyRare Holo,EX Unseen Forces 
1809,116/115,Rocket's Persian ex,Darkness,NULL,EX Unseen Forces 
1810,117/115,Celebi ex,Grass,NULL,EX Unseen Forces 
1811,1/113,Beedrill δ,"['Grass', 'Metal']",Rare Holo,EX Delta Species 
1812,2/113,Crobat δ,"['Grass', 'Metal']",Rare Holo,EX Delta Species 
1813,3/113,Dragonite δ,"['Lightning', 'Metal']",Rare Holo,EX Delta Species 
1814,4/113,Espeon δ,"['Psychic', 'Metal']",Rare Holo,EX Delta Species 
1815,5/113,Flareon δ,"['Fire', 'Metal']",Rare Holo,EX Delta Species 
1816,6/113,Gardevoir δ,"['Psychic', 'Metal']",Rare Holo,EX Delta Species 
1817,7/113,Jolteon δ,"['Lightning', 'Metal']",Rare Holo,EX Delta Species 
1818,8/113,Latias δ,"['Lightning', 'Metal']",Rare Holo,EX Delta Species 
1819,9/113,Latios δ,"['Lightning', 'Metal']",Rare Holo,EX Delta Species 
1820,10/113,Marowak δ,"['Fighting', 'Metal']",Rare Holo,EX Delta Species 
1821,11/113,Metagross δ,"['Lightning', 'Metal']",Rare Holo,EX Delta Species 
1822,12/113,Mewtwo δ,"['Fire', 'Metal']",Rare Holo,EX Delta Species 
1823,13/113,Rayquaza δ,"['Lightning', 'Metal']",Rare Holo,EX Delta Species 
1824,14/113,Salamence δ,"['Fire', 'Metal']",Rare Holo,EX Delta Species 
1825,15/113,Starmie δ,"['Water', 'Metal']",Rare Holo,EX Delta Species 
1826,16/113,Tyranitar δ,"['Fire', 'Metal']",Rare Holo,EX Delta Species 
1827,17/113,Umbreon δ,"['Darkness', 'Metal']",Rare Holo,EX Delta Species 
1828,18/113,Vaporeon δ,"['Water', 'Metal']",Rare Holo,EX Delta Species 
1829,19/113,Azumarill δ,"['Water', 'Metal']",Rare,EX Delta Species 
1830,20/113,Azurill,Colorless,Rare,EX Delta Species 
1831,21/113,Holon's Electrode,Lightning,Rare,EX Delta Species 
1832,22/113,Holon's Magneton,Metal,Rare,EX Delta Species 
1833,23/113,Hypno,Psychic,Rare,EX Delta Species 
1834,24/113,Mightyena δ,"['Darkness', 'Metal']",Rare,EX Delta Species 
1835,25/113,Porygon2,Colorless,Rare,EX Delta Species 
1836,26/113,Rain Castform,Water,Rare,EX Delta Species 
1837,27/113,Sandslash δ,"['Fighting', 'Metal']",Rare,EX Delta Species 
1838,28/113,Slowking,Water,Rare,EX Delta Species 
1839,29/113,Snow-cloud Castform,Water,Rare,EX Delta Species 
1840,30/113,Starmie δ,"['Water', 'Metal']",Rare,EX Delta Species 
1841,31/113,Sunny Castform,Fire,Rare,EX Delta Species 
1842,32/113,Swellow,Colorless,Rare,EX Delta Species 
1843,33/113,Weezing,Grass,Rare,EX Delta Species 
1844,34/113,Castform,Colorless,Uncommon,EX Delta Species 
1845,35/113,Ditto,Colorless,Uncommon,EX Delta Species 
1846,36/113,Ditto,Grass,Uncommon,EX Delta Species 
1847,37/113,Ditto,Fire,Uncommon,EX Delta Species 
1848,38/113,Ditto,Psychic,Uncommon,EX Delta Species 
1849,39/113,Ditto,Lightning,Uncommon,EX Delta Species 
1850,40/113,Ditto,Water,Uncommon,EX Delta Species 
1851,41/113,Dragonair δ,Lightning,Uncommon,EX Delta Species 
1852,42/113,Dragonair δ,Lightning,Uncommon,EX Delta Species 
1853,43/113,Golbat,Grass,Uncommon,EX Delta Species 
1854,44/113,Hariyama,Fighting,Uncommon,EX Delta Species 
1855,45/113,Illumise,Grass,Uncommon,EX Delta Species 
1856,46/113,Kakuna,Grass,Uncommon,EX Delta Species 
1857,47/113,Kirlia,Psychic,Uncommon,EX Delta Species 
1858,48/113,Magneton,Lightning,Uncommon,EX Delta Species 
1859,49/113,Metang δ,Lightning,Uncommon,EX Delta Species 
1860,50/113,Persian,Colorless,Uncommon,EX Delta Species 
1861,51/113,Pupitar δ,Fire,Uncommon,EX Delta Species 
1862,52/113,Rapidash,Fire,Uncommon,EX Delta Species 
1863,53/113,Shelgon δ,Fire,Uncommon,EX Delta Species 
1864,54/113,Shelgon δ,Fire,Uncommon,EX Delta Species 
1865,55/113,Skarmory,Metal,Uncommon,EX Delta Species 
1866,56/113,Volbeat,Grass,Uncommon,EX Delta Species 
1867,57/113,Bagon δ,Fire,Common,EX Delta Species 
1868,58/113,Bagon δ,Fire,Common,EX Delta Species 
1869,59/113,Beldum δ,Lightning,Common,EX Delta Species 
1870,60/113,Cubone,Fighting,Common,EX Delta Species 
1871,61/113,Ditto,Fire,Common,EX Delta Species 
1872,62/113,Ditto,Fighting,Common,EX Delta Species 
1873,63/113,Ditto,Lightning,Common,EX Delta Species 
1874,64/113,Ditto,Water,Common,EX Delta Species 
1875,65/113,Dratini δ,Lightning,Common,EX Delta Species 
1876,66/113,Dratini δ,Lightning,Common,EX Delta Species 
1877,67/113,Drowzee,Psychic,Common,EX Delta Species 
1878,68/113,Eevee δ,Metal,Common,EX Delta Species 
1879,69/113,Eevee,Colorless,Common,EX Delta Species 
1880,70/113,Holon's Magnemite,Metal,Common,EX Delta Species 
1881,71/113,Holon's Voltorb,Lightning,Common,EX Delta Species 
1882,72/113,Koffing,Grass,Common,EX Delta Species 
1883,73/113,Larvitar δ,Fire,Common,EX Delta Species 
1884,74/113,Magnemite,Lightning,Common,EX Delta Species 
1885,75/113,Makuhita,Fighting,Common,EX Delta Species 
1886,76/113,Marill,Water,Common,EX Delta Species 
1887,77/113,Meowth,Colorless,Common,EX Delta Species 
1888,78/113,Ponyta,Fire,Common,EX Delta Species 
1889,79/113,Poochyena,Darkness,Common,EX Delta Species 
1890,80/113,Porygon,Colorless,Common,EX Delta Species 
1891,81/113,Ralts,Psychic,Common,EX Delta Species 
1892,82/113,Sandshrew,Fighting,Common,EX Delta Species 
1893,83/113,Slowpoke,Water,Common,EX Delta Species 
1894,84/113,Staryu,Water,Common,EX Delta Species 
1895,85/113,Staryu,Water,Common,EX Delta Species 
1896,86/113,Taillow,Colorless,Common,EX Delta Species 
1897,87/113,Weedle,Grass,Common,EX Delta Species 
1898,88/113,Zubat,Grass,Common,EX Delta Species 
1899,89/113,Dual Ball,T,Uncommon,EX Delta Species 
1900,90/113,Great Ball,T,Uncommon,EX Delta Species 
1901,91/113,Holon Farmer,T [Su],Uncommon,EX Delta Species 
1902,92/113,Holon Lass,T [Su],Uncommon,EX Delta Species 
1903,93/113,Holon Mentor,T [Su],Uncommon,EX Delta Species 
1904,94/113,Holon Research Tower,T [St],Uncommon,EX Delta Species 
1905,95/113,Holon Researcher,T [Su],Uncommon,EX Delta Species 
1906,96/113,Holon Ruins,T [St],Uncommon,EX Delta Species 
1907,97/113,Holon Scientist,T [Su],Uncommon,EX Delta Species 
1908,98/113,Holon Transceiver,T,Uncommon,EX Delta Species 
1909,99/113,Master Ball,T,Uncommon,EX Delta Species 
1910,100/113,Super Scoop Up,T,Uncommon,EX Delta Species 
1911,101/113,Potion,T,Common,EX Delta Species 
1912,102/113,Switch,T,Common,EX Delta Species 
1913,103/113,Darkness Energy,Darkness,Rare,EX Delta Species 
1914,104/113,Holon Energy FF,Colorless,Rare,EX Delta Species 
1915,105/113,Holon Energy GL,Colorless,Rare,EX Delta Species 
1916,106/113,Holon Energy WP,Colorless,Rare,EX Delta Species 
1917,107/113,Metal Energy,Metal,Rare,EX Delta Species 
1918,108/113,Flareon ex,Fire,Rare Holo ex,EX Delta Species 
1919,109/113,Jolteon ex,Lightning,Rare Holo ex,EX Delta Species 
1920,110/113,Vaporeon ex,Water,Rare Holo ex,EX Delta Species 
1921,111/113,Groudon,Fighting,ShinyRare Holo,EX Delta Species 
1922,112/113,Kyogre,Water,ShinyRare Holo,EX Delta Species 
1923,113/113,Metagross,Metal,ShinyRare Holo,EX Delta Species 
1924,114/113,Azumarill,Water,NULL,EX Delta Species 
1925,1/92,Aerodactyl,Colorless,Rare Holo,EX Legend Maker 
1926,2/92,Aggron,Metal,Rare Holo,EX Legend Maker 
1927,3/92,Cradily,Grass,Rare Holo,EX Legend Maker 
1928,4/92,Delcatty,Colorless,Rare Holo,EX Legend Maker 
1929,5/92,Gengar,Psychic,Rare Holo,EX Legend Maker 
1930,6/92,Golem,Fighting,Rare Holo,EX Legend Maker 
1931,7/92,Kabutops,Fighting,Rare Holo,EX Legend Maker 
1932,8/92,Lapras,Water,Rare Holo,EX Legend Maker 
1933,9/92,Machamp,Fighting,Rare Holo,EX Legend Maker 
1934,10/92,Mew,Psychic,Rare Holo,EX Legend Maker 
1935,11/92,Muk,Grass,Rare Holo,EX Legend Maker 
1936,12/92,Shiftry,Darkness,Rare Holo,EX Legend Maker 
1937,13/92,Victreebel,Grass,Rare Holo,EX Legend Maker 
1938,14/92,Wailord,Water,Rare Holo,EX Legend Maker 
1939,15/92,Absol,Darkness,Rare,EX Legend Maker 
1940,16/92,Girafarig,Psychic,Rare,EX Legend Maker 
1941,17/92,Gorebyss,Water,Rare,EX Legend Maker 
1942,18/92,Huntail,Water,Rare,EX Legend Maker 
1943,19/92,Lanturn,Lightning,Rare,EX Legend Maker 
1944,20/92,Lunatone,Psychic,Rare,EX Legend Maker 
1945,21/92,Magmar,Fire,Rare,EX Legend Maker 
1946,22/92,Magneton,Lightning,Rare,EX Legend Maker 
1947,23/92,Omastar,Water,Rare,EX Legend Maker 
1948,24/92,Pinsir,Grass,Rare,EX Legend Maker 
1949,25/92,Solrock,Fighting,Rare,EX Legend Maker 
1950,26/92,Spinda,Colorless,Rare,EX Legend Maker 
1951,27/92,Torkoal,Fire,Rare,EX Legend Maker 
1952,28/92,Wobbuffet,Psychic,Rare,EX Legend Maker 
1953,29/92,Anorith,Fighting,Uncommon,EX Legend Maker 
1954,30/92,Cascoon,Grass,Uncommon,EX Legend Maker 
1955,31/92,Dunsparce,Colorless,Uncommon,EX Legend Maker 
1956,32/92,Electrode,Lightning,Uncommon,EX Legend Maker 
1957,33/92,Furret,Colorless,Uncommon,EX Legend Maker 
1958,34/92,Graveler,Fighting,Uncommon,EX Legend Maker 
1959,35/92,Haunter,Psychic,Uncommon,EX Legend Maker 
1960,36/92,Kabuto,Fighting,Uncommon,EX Legend Maker 
1961,37/92,Kecleon,Colorless,Uncommon,EX Legend Maker 
1962,38/92,Lairon,Metal,Uncommon,EX Legend Maker 
1963,39/92,Machoke,Fighting,Uncommon,EX Legend Maker 
1964,40/92,Misdreavus,Psychic,Uncommon,EX Legend Maker 
1965,41/92,Nuzleaf,Darkness,Uncommon,EX Legend Maker 
1966,42/92,Roselia,Grass,Uncommon,EX Legend Maker 
1967,43/92,Sealeo,Water,Uncommon,EX Legend Maker 
1968,44/92,Tangela,Grass,Uncommon,EX Legend Maker 
1969,45/92,Tentacruel,Water,Uncommon,EX Legend Maker 
1970,46/92,Vibrava,Colorless,Uncommon,EX Legend Maker 
1971,47/92,Weepinbell,Grass,Uncommon,EX Legend Maker 
1972,48/92,Aron,Metal,Common,EX Legend Maker 
1973,49/92,Bellsprout,Grass,Common,EX Legend Maker 
1974,50/92,Chinchou,Lightning,Common,EX Legend Maker 
1975,51/92,Clamperl,Water,Common,EX Legend Maker 
1976,52/92,Gastly,Psychic,Common,EX Legend Maker 
1977,53/92,Geodude,Fighting,Common,EX Legend Maker 
1978,54/92,Grimer,Grass,Common,EX Legend Maker 
1979,55/92,Growlithe,Fire,Common,EX Legend Maker 
1980,56/92,Lileep,Grass,Common,EX Legend Maker 
1981,57/92,Machop,Fighting,Common,EX Legend Maker 
1982,58/92,Magby,Fire,Common,EX Legend Maker 
1983,59/92,Magnemite,Lightning,Common,EX Legend Maker 
1984,60/92,Omanyte,Water,Common,EX Legend Maker 
1985,61/92,Seedot,Grass,Common,EX Legend Maker 
1986,62/92,Sentret,Colorless,Common,EX Legend Maker 
1987,63/92,Shuppet,Psychic,Common,EX Legend Maker 
1988,64/92,Skitty,Colorless,Common,EX Legend Maker 
1989,65/92,Spheal,Water,Common,EX Legend Maker 
1990,66/92,Tentacool,Water,Common,EX Legend Maker 
1991,67/92,Trapinch,Fighting,Common,EX Legend Maker 
1992,68/92,Voltorb,Lightning,Common,EX Legend Maker 
1993,69/92,Wailmer,Water,Common,EX Legend Maker 
1994,70/92,Wurmple,Grass,Common,EX Legend Maker 
1995,71/92,Wynaut,Psychic,Common,EX Legend Maker 
1996,72/92,Cursed Stone,T [St],Uncommon,EX Legend Maker 
1997,73/92,Fieldworker,T [Su],Uncommon,EX Legend Maker 
1998,74/92,Full Flame,T [St],Uncommon,EX Legend Maker 
1999,75/92,Giant Stump,T [St],Uncommon,EX Legend Maker 
2000,76/92,Power Tree,T [St],Uncommon,EX Legend Maker 
2001,77/92,Strange Cave,T [St],Uncommon,EX Legend Maker 
2002,78/92,Claw Fossil,T,Common,EX Legend Maker 
2003,79/92,Mysterious Fossil,T,Common,EX Legend Maker 
2004,80/92,Root Fossil,T,Common,EX Legend Maker 
2005,81/92,Rainbow Energy,Rainbow,Rare,EX Legend Maker 
2006,82/92,React Energy,Colorless,Uncommon,EX Legend Maker 
2007,83/92,Arcanine ex,Fire,Rare Holo ex,EX Legend Maker 
2008,84/92,Armaldo ex,Fighting,Rare Holo ex,EX Legend Maker 
2009,85/92,Banette ex,Psychic,Rare Holo ex,EX Legend Maker 
2010,86/92,Dustox ex,Grass,Rare Holo ex,EX Legend Maker 
2011,87/92,Flygon ex,Colorless,Rare Holo ex,EX Legend Maker 
2012,88/92,Mew ex,Psychic,Rare Holo ex,EX Legend Maker 
2013,89/92,Walrein ex,Water,Rare Holo ex,EX Legend Maker 
2014,90/92,Regice,Water,ShinyRare Holo,EX Legend Maker 
2015,91/92,Regirock,Fighting,ShinyRare Holo,EX Legend Maker 
2016,92/92,Registeel,Metal,ShinyRare Holo,EX Legend Maker 
2017,93/92,Pikachu δ,Metal,NULL,EX Legend Maker 
2018,1/110,Armaldo δ,"['Fighting', 'Metal']",Rare Holo,EX Holon Phantoms 
2019,2/110,Cradily δ,"['Darkness', 'Metal']",Rare Holo,EX Holon Phantoms 
2020,3/110,Deoxys δ,Darkness,Rare Holo,EX Holon Phantoms 
2021,4/110,Deoxys δ,Metal,Rare Holo,EX Holon Phantoms 
2022,5/110,Deoxys δ,Colorless,Rare Holo,EX Holon Phantoms 
2023,6/110,Deoxys δ,Lightning,Rare Holo,EX Holon Phantoms 
2024,7/110,Flygon δ,"['Grass', 'Metal']",Rare Holo,EX Holon Phantoms 
2025,8/110,Gyarados δ,"['Lightning', 'Metal']",Rare Holo,EX Holon Phantoms 
2026,9/110,Kabutops δ,Lightning,Rare Holo,EX Holon Phantoms 
2027,10/110,Kingdra δ,"['Fire', 'Metal']",Rare Holo,EX Holon Phantoms 
2028,11/110,Latias δ,Fire,Rare Holo,EX Holon Phantoms 
2029,12/110,Latios δ,Water,Rare Holo,EX Holon Phantoms 
2030,13/110,Omastar δ,Psychic,Rare Holo,EX Holon Phantoms 
2031,14/110,Pidgeot δ,"['Lightning', 'Metal']",Rare Holo,EX Holon Phantoms 
2032,15/110,Raichu δ,Metal,Rare Holo,EX Holon Phantoms 
2033,16/110,Rayquaza δ,"['Water', 'Metal']",Rare Holo,EX Holon Phantoms 
2034,17/110,Vileplume δ,"['Psychic', 'Metal']",Rare Holo,EX Holon Phantoms 
2035,18/110,Absol,Darkness,Rare,EX Holon Phantoms 
2036,19/110,Bellossom δ,Water,Rare,EX Holon Phantoms 
2037,20/110,Blaziken,Fire,Rare,EX Holon Phantoms 
2038,21/110,Latias δ,Fire,Rare,EX Holon Phantoms 
2039,22/110,Latios δ,Water,Rare,EX Holon Phantoms 
2040,23/110,Mawile,Metal,Rare,EX Holon Phantoms 
2041,24/110,Mewtwo δ,Lightning,Rare,EX Holon Phantoms 
2042,25/110,Nosepass,Fighting,Rare,EX Holon Phantoms 
2043,26/110,Rayquaza δ,Fire,Rare,EX Holon Phantoms 
2044,27/110,Regice,Water,Rare,EX Holon Phantoms 
2045,28/110,Regirock,Fighting,Rare,EX Holon Phantoms 
2046,29/110,Registeel,Metal,Rare,EX Holon Phantoms 
2047,30/110,Relicanth,Water,Rare,EX Holon Phantoms 
2048,31/110,Sableye,Darkness,Rare,EX Holon Phantoms 
2049,32/110,Seviper,Grass,Rare,EX Holon Phantoms 
2050,33/110,Torkoal,Fire,Rare,EX Holon Phantoms 
2051,34/110,Zangoose,Colorless,Rare,EX Holon Phantoms 
2052,35/110,Aerodactyl δ,Fire,Uncommon,EX Holon Phantoms 
2053,36/110,Camerupt,Fire,Uncommon,EX Holon Phantoms 
2054,37/110,Chimecho δ,Metal,Uncommon,EX Holon Phantoms 
2055,38/110,Claydol,Psychic,Uncommon,EX Holon Phantoms 
2056,39/110,Combusken,Fire,Uncommon,EX Holon Phantoms 
2057,40/110,Donphan,Fighting,Uncommon,EX Holon Phantoms 
2058,41/110,Exeggutor δ,Fighting,Uncommon,EX Holon Phantoms 
2059,42/110,Gloom δ,Psychic,Uncommon,EX Holon Phantoms 
2060,43/110,Golduck δ,Lightning,Uncommon,EX Holon Phantoms 
2061,44/110,Holon's Castform,Colorless,Uncommon,EX Holon Phantoms 
2062,45/110,Lairon,Metal,Uncommon,EX Holon Phantoms 
2063,46/110,Manectric,Lightning,Uncommon,EX Holon Phantoms 
2064,47/110,Masquerain,Grass,Uncommon,EX Holon Phantoms 
2065,48/110,Persian δ,"['Darkness', 'Metal']",Uncommon,EX Holon Phantoms 
2066,49/110,Pidgeotto δ,Lightning,Uncommon,EX Holon Phantoms 
2067,50/110,Primeape δ,Fire,Uncommon,EX Holon Phantoms 
2068,51/110,Raichu,Lightning,Uncommon,EX Holon Phantoms 
2069,52/110,Seadra δ,Fire,Uncommon,EX Holon Phantoms 
2070,53/110,Sharpedo δ,Fighting,Uncommon,EX Holon Phantoms 
2071,54/110,Vibrava δ,Grass,Uncommon,EX Holon Phantoms 
2072,55/110,Whiscash,Fighting,Uncommon,EX Holon Phantoms 
2073,56/110,Wobbuffet,Psychic,Uncommon,EX Holon Phantoms 
2074,57/110,Anorith δ,Metal,Common,EX Holon Phantoms 
2075,58/110,Aron,Metal,Common,EX Holon Phantoms 
2076,59/110,Baltoy,Psychic,Common,EX Holon Phantoms 
2077,60/110,Barboach,Fighting,Common,EX Holon Phantoms 
2078,61/110,Carvanha δ,Fighting,Common,EX Holon Phantoms 
2079,62/110,Corphish,Water,Common,EX Holon Phantoms 
2080,63/110,Corphish,Water,Common,EX Holon Phantoms 
2081,64/110,Electrike,Lightning,Common,EX Holon Phantoms 
2082,65/110,Exeggcute δ,Fighting,Common,EX Holon Phantoms 
2083,66/110,Horsea δ,Fire,Common,EX Holon Phantoms 
2084,67/110,Kabuto δ,Lightning,Common,EX Holon Phantoms 
2085,68/110,Lileep δ,Darkness,Common,EX Holon Phantoms 
2086,69/110,Magikarp δ,Metal,Common,EX Holon Phantoms 
2087,70/110,Mankey δ,Fire,Common,EX Holon Phantoms 
2088,71/110,Meowth δ,"['Darkness', 'Metal']",Common,EX Holon Phantoms 
2089,72/110,Numel,Fire,Common,EX Holon Phantoms 
2090,73/110,Oddish δ,Water,Common,EX Holon Phantoms 
2091,74/110,Omanyte δ,Psychic,Common,EX Holon Phantoms 
2092,75/110,Phanpy,Fighting,Common,EX Holon Phantoms 
2093,76/110,Pichu δ,Metal,Common,EX Holon Phantoms 
2094,77/110,Pidgey δ,Lightning,Common,EX Holon Phantoms 
2095,78/110,Pikachu,Lightning,Common,EX Holon Phantoms 
2096,79/110,Pikachu δ,Metal,Common,EX Holon Phantoms 
2097,80/110,Poochyena,Darkness,Common,EX Holon Phantoms 
2098,81/110,Psyduck δ,Lightning,Common,EX Holon Phantoms 
2099,82/110,Surskit,Grass,Common,EX Holon Phantoms 
2100,83/110,Torchic,Fire,Common,EX Holon Phantoms 
2101,84/110,Trapinch δ,Grass,Common,EX Holon Phantoms 
2102,85/110,Holon Adventurer,T [Su],Uncommon,EX Holon Phantoms 
2103,86/110,Holon Fossil,T,Uncommon,EX Holon Phantoms 
2104,87/110,Holon Lake,T [St],Uncommon,EX Holon Phantoms 
2105,88/110,Mr. Stone's Project,T [Su],Uncommon,EX Holon Phantoms 
2106,89/110,Professor Cozmo's Discovery,T [Su],Uncommon,EX Holon Phantoms 
2107,90/110,Rare Candy,T,Uncommon,EX Holon Phantoms 
2108,91/110,Claw Fossil,T,Common,EX Holon Phantoms 
2109,92/110,Mysterious Fossil,T,Common,EX Holon Phantoms 
2110,93/110,Root Fossil,T,Common,EX Holon Phantoms 
2111,94/110,Darkness Energy,Darkness,Rare,EX Holon Phantoms 
2112,95/110,Metal Energy,Metal,Rare,EX Holon Phantoms 
2113,96/110,Multi Energy,Rainbow,Rare,EX Holon Phantoms 
2114,97/110,Dark Metal Energy,Darkness,Uncommon,EX Holon Phantoms 
2115,98/110,δ Rainbow Energy,Rainbow,Uncommon,EX Holon Phantoms 
2116,99/110,Crawdaunt ex,Water,Rare Holo ex,EX Holon Phantoms 
2117,100/110,Mew ex,Psychic,Rare Holo ex,EX Holon Phantoms 
2118,101/110,Mightyena ex,Darkness,Rare Holo ex,EX Holon Phantoms 
2119,102/110,Gyarados,Fire,ShinyRare Holo,EX Holon Phantoms 
2120,103/110,Mewtwo,Psychic,ShinyRare Holo,EX Holon Phantoms 
2121,104/110,Pikachu,Lightning,ShinyRare Holo,EX Holon Phantoms 
2122,105/110,Grass Energy,Grass,Rare Holo,EX Holon Phantoms 
2123,106/110,Fire Energy,Fire,Rare Holo,EX Holon Phantoms 
2124,107/110,Water Energy,Water,Rare Holo,EX Holon Phantoms 
2125,108/110,Lightning Energy,Lightning,Rare Holo,EX Holon Phantoms 
2126,109/110,Psychic Energy,Psychic,Rare Holo,EX Holon Phantoms 
2127,110/110,Fighting Energy,Fighting,Rare Holo,EX Holon Phantoms 
2128,111/110,Mew,Psychic,NULL,EX Holon Phantoms 
2129,1/100,Banette,Psychic,Rare Holo,EX Crystal Guardians 
2130,2/100,Blastoise δ,"['Fighting', 'Metal']",Rare Holo,EX Crystal Guardians 
2131,3/100,Camerupt,Fire,Rare Holo,EX Crystal Guardians 
2132,4/100,Charizard δ,"['Lightning', 'Metal']",Rare Holo,EX Crystal Guardians 
2133,5/100,Dugtrio,Fighting,Rare Holo,EX Crystal Guardians 
2134,6/100,Ludicolo δ,Fire,Rare Holo,EX Crystal Guardians 
2135,7/100,Luvdisc,Water,Rare Holo,EX Crystal Guardians 
2136,8/100,Manectric,Lightning,Rare Holo,EX Crystal Guardians 
2137,9/100,Mawile,Metal,Rare Holo,EX Crystal Guardians 
2138,10/100,Sableye,Darkness,Rare Holo,EX Crystal Guardians 
2139,11/100,Swalot,Grass,Rare Holo,EX Crystal Guardians 
2140,12/100,Tauros,Colorless,Rare Holo,EX Crystal Guardians 
2141,13/100,Wigglytuff,Colorless,Rare Holo,EX Crystal Guardians 
2142,14/100,Blastoise,Water,Rare,EX Crystal Guardians 
2143,15/100,Cacturne δ,Fighting,Rare,EX Crystal Guardians 
2144,16/100,Combusken,Fighting,Rare,EX Crystal Guardians 
2145,17/100,Dusclops,Psychic,Rare,EX Crystal Guardians 
2146,18/100,Fearow δ,Lightning,Rare,EX Crystal Guardians 
2147,19/100,Grovyle δ,Psychic,Rare,EX Crystal Guardians 
2148,20/100,Grumpig,Psychic,Rare,EX Crystal Guardians 
2149,21/100,Igglybuff,Colorless,Rare,EX Crystal Guardians 
2150,22/100,Kingler δ,"['Fire', 'Metal']",Rare,EX Crystal Guardians 
2151,23/100,Loudred,Colorless,Rare,EX Crystal Guardians 
2152,24/100,Marshtomp,Water,Rare,EX Crystal Guardians 
2153,25/100,Medicham,Fighting,Rare,EX Crystal Guardians 
2154,26/100,Pelipper δ,Lightning,Rare,EX Crystal Guardians 
2155,27/100,Swampert,Fighting,Rare,EX Crystal Guardians 
2156,28/100,Venusaur,Grass,Rare,EX Crystal Guardians 
2157,29/100,Charmeleon,Fire,Uncommon,EX Crystal Guardians 
2158,30/100,Charmeleon δ,Lightning,Uncommon,EX Crystal Guardians 
2159,31/100,Combusken,Fire,Uncommon,EX Crystal Guardians 
2160,32/100,Grovyle,Grass,Uncommon,EX Crystal Guardians 
2161,33/100,Gulpin,Grass,Uncommon,EX Crystal Guardians 
2162,34/100,Ivysaur,Grass,Uncommon,EX Crystal Guardians 
2163,35/100,Ivysaur,Grass,Uncommon,EX Crystal Guardians 
2164,36/100,Lairon,Metal,Uncommon,EX Crystal Guardians 
2165,37/100,Lombre,Water,Uncommon,EX Crystal Guardians 
